AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate ;FrameRate-XRDevice;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB;VRPosXA;VRPosXB;VRPosYA;VRPosYB;VRPosZA;VRPosZB;VRRotXA;VRRotXB;VRRotYA;VRRotYB;VRRotZA;VRRotZB
0.1046;0.6070;False;False;81.2388;79.6699;-0.0050;0.1062;-75.3998;87.9400;359.7809;0.0049;278.9333;241.9098;0.0115;-0.0001; ; ; ; ; ; ;126883;71.63127;Infinity;1748.54;80.7310;79.1254;1.5605;1.2664;-76.0863;87.9305;353.6147;354.6019;313.3649;197.8191;355.6540;5.2072;;;HandLeft_(0.2, -0.7, -0.1)_(0.3, 0.6, -0.7, 0.0)_1.034973_System.String[];HandLeft_(-0.6, -0.3, -0.5)_(0.7, 0.4, -0.3, 0.4)_1.013731_System.String[];HandRight_(0.4, -0.7, -0.2)_(-0.3, -0.5, -0.5, 0.7)_1.034973_System.String[];HandRight_(-0.4, -0.3, -0.3)_(-0.1, -0.8, -0.5, 0.4)_1.013731_System.String[];0.0000;0.0073;-0.0048;81.0318;79.7079;1.1502;1.3409;-75.7791;87.5366;350.2260;0.0339;273.9115;224.3980;2.8914;355.8357
0.1130;0.6071;False;False;81.2387;79.6692;-0.0050;0.1062;-75.3998;87.9396;359.7798;0.0014;278.9326;241.9106;0.0115;-0.0001;-0.0523;0.0001;-0.0001;0.0013;-0.0281;-0.0086;126885;61.15532;Infinity;1748.58;80.7310;79.1252;1.5605;1.2665;-76.0863;87.9304;353.6140;354.6007;313.3645;197.8194;355.6535;5.2083;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, -0.7, -0.1)_(0.3, 0.6, -0.7, 0.0)_1.034973_System.String[];HandLeft_(-0.6, -0.3, -0.4)_(0.7, 0.4, -0.3, 0.4)_1.013731_System.String[];HandRight_(0.4, -0.7, -0.2)_(-0.3, -0.5, -0.4, 0.7)_1.034973_System.String[];HandRight_(-0.4, -0.3, -0.3)_(0.0, -0.8, -0.5, 0.4)_1.013731_System.String[];0.0428;0.0073;-0.0048;81.0317;79.7099;1.1502;1.3413;-75.7798;87.5355;350.3076;359.6930;273.7021;222.7928;2.9897;355.9357
0.1284;0.6067;False;False;81.2381;79.6662;-0.0050;0.1062;-75.3997;87.9380;359.7777;359.9924;278.9339;241.9110;0.0115;-0.0002;-0.1018;-0.0001;-0.0003;0.0033;-0.0546;-0.0207;126888;65.87505;Infinity;1748.63;80.7307;79.1231;1.5605;1.2665;-76.0862;87.9292;353.6125;354.5951;313.3650;197.8196;355.6525;5.2137;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, -0.7, -0.1)_(0.3, 0.6, -0.7, 0.0)_1.034973_System.String[];HandLeft_(-0.6, -0.3, -0.5)_(0.7, 0.4, -0.3, 0.4)_1.013731_System.String[];HandRight_(0.4, -0.7, -0.2)_(-0.3, -0.5, -0.5, 0.7)_1.034973_System.String[];HandRight_(-0.4, -0.3, -0.3)_(0.0, -0.7, -0.6, 0.4)_1.013731_System.String[];0.0847;0.0073;-0.0048;81.0312;79.7099;1.1502;1.3415;-75.7802;87.5335;350.4028;359.3928;273.5086;221.5405;3.0504;356.0423
0.1475;0.6063;False;False;81.2370;79.6610;-0.0050;0.1061;-75.3995;87.9352;359.7749;359.9809;278.9351;241.9104;0.0115;-0.0003;-0.1536;-0.0002;-0.0005;0.0055;-0.0824;-0.0344;126891;68.68835;Infinity;1748.67;80.7298;79.1188;1.5605;1.2666;-76.0861;87.9269;353.6104;354.5873;313.3668;197.8185;355.6510;5.2212;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, -0.7, -0.1)_(0.3, 0.6, -0.7, 0.0)_1.034973_System.String[];HandLeft_(-0.6, -0.3, -0.5)_(0.7, 0.4, -0.3, 0.4)_1.013731_System.String[];HandRight_(0.4, -0.7, -0.2)_(-0.3, -0.5, -0.5, 0.7)_1.034973_System.String[];HandRight_(-0.4, -0.3, -0.3)_(0.0, -0.7, -0.6, 0.4)_1.013731_System.String[];0.1265;0.0073;-0.0048;81.0301;79.7072;1.1502;1.3418;-75.7807;87.5306;350.4648;359.1137;273.3458;220.5878;3.0961;356.1415
0.1668;0.6064;False;False;81.2353;79.6535;-0.0050;0.1061;-75.3993;87.9312;359.7720;359.9690;278.9349;241.9102;0.0115;-0.0003;-0.2045;-0.0003;-0.0006;0.0077;-0.1097;-0.0481;126894;70.27203;Infinity;1748.71;80.7284;79.1123;1.5605;1.2667;-76.0859;87.9235;353.6081;354.5786;313.3669;197.8176;355.6494;5.2295;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, -0.7, -0.1)_(0.3, 0.6, -0.7, 0.0)_1.034973_System.String[];HandLeft_(-0.6, -0.3, -0.5)_(0.7, 0.4, -0.3, 0.4)_1.013731_System.String[];HandRight_(0.4, -0.7, -0.2)_(-0.3, -0.5, -0.5, 0.7)_1.034973_System.String[];HandRight_(-0.4, -0.3, -0.3)_(0.0, -0.7, -0.6, 0.4)_1.013731_System.String[];0.1681;0.0073;-0.0048;81.0287;79.7021;1.1501;1.3424;-75.7811;87.5270;350.4912;358.7769;273.2130;219.9113;3.1355;356.2361
0.1818;0.6062;False;False;81.2330;79.6439;-0.0050;0.1061;-75.3989;87.9260;359.7691;359.9576;278.9343;241.9092;0.0115;-0.0004;-0.2554;-0.0003;-0.0006;0.0099;-0.1370;-0.0623;126897;71.09644;Infinity;1748.75;80.7264;79.1037;1.5606;1.2668;-76.0856;87.9188;353.6057;354.5703;313.3668;197.8160;355.6477;5.2376;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, -0.7, -0.1)_(0.3, 0.6, -0.7, 0.0)_1.034973_System.String[];HandLeft_(-0.6, -0.3, -0.5)_(0.7, 0.4, -0.3, 0.4)_1.013731_System.String[];HandRight_(0.4, -0.7, -0.2)_(-0.3, -0.5, -0.5, 0.7)_1.034973_System.String[];HandRight_(-0.4, -0.3, -0.3)_(0.0, -0.7, -0.6, 0.4)_1.013731_System.String[];0.2097;0.0073;-0.0048;81.0267;79.6946;1.1501;1.3432;-75.7812;87.5223;350.4890;358.3676;273.1418;219.4830;3.1979;356.3310
0.1957;0.6060;False;False;81.2300;79.6320;-0.0050;0.1061;-75.3984;87.9196;359.7660;359.9474;278.9338;241.9081;0.0114;-0.0004;-0.3060;-0.0003;-0.0006;0.0127;-0.1641;-0.0799;126900;71.44855;Infinity;1748.79;80.7237;79.0927;1.5606;1.2668;-76.0851;87.9129;353.6031;354.5626;313.3665;197.8142;355.6459;5.2450;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, -0.7, -0.1)_(0.4, 0.6, -0.7, -0.1)_1.034973_System.String[];HandLeft_(-0.6, -0.3, -0.5)_(0.7, 0.4, -0.3, 0.4)_1.013731_System.String[];HandRight_(0.4, -0.7, -0.2)_(-0.3, -0.5, -0.5, 0.7)_1.034973_System.String[];HandRight_(-0.4, -0.3, -0.3)_(0.0, -0.7, -0.6, 0.4)_1.013731_System.String[];0.2515;0.0073;-0.0048;81.0239;79.6847;1.1501;1.3440;-75.7811;87.5167;350.4649;357.8789;273.1138;219.2814;3.2724;356.4200
0.2072;0.6066;False;False;81.2262;79.6179;-0.0050;0.1060;-75.3978;87.9121;359.7632;359.9386;278.9334;241.9067;0.0114;-0.0005;-0.3565;-0.0002;-0.0005;0.0153;-0.1912;-0.0959;126903;71.54372;Infinity;1748.83;80.7203;79.0796;1.5606;1.2669;-76.0846;87.9058;353.6006;354.5559;313.3658;197.8123;355.6442;5.2515;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, -0.7, -0.1)_(0.4, 0.6, -0.7, -0.1)_1.034973_System.String[];HandLeft_(-0.6, -0.3, -0.5)_(0.7, 0.4, -0.3, 0.4)_1.013731_System.String[];HandRight_(0.4, -0.8, -0.3)_(-0.3, -0.5, -0.5, 0.6)_1.034973_System.String[];HandRight_(-0.4, -0.3, -0.3)_(0.0, -0.7, -0.6, 0.4)_1.013731_System.String[];0.2933;0.0073;-0.0048;81.0202;79.6724;1.1501;1.3449;-75.7810;87.5103;350.4468;357.2681;273.0963;219.2612;3.3441;356.5076
0.2167;0.6073;False;False;81.2216;79.6017;-0.0050;0.1060;-75.3971;87.9034;359.7603;359.9311;278.9345;241.9051;0.0114;-0.0005;-0.4069;-0.0002;-0.0005;0.0185;-0.2182;-0.1157;126906;71.72145;Infinity;1748.88;80.7160;79.0641;1.5606;1.2669;-76.0839;87.8975;353.5983;354.5502;313.3666;197.8103;355.6426;5.2570;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, -0.7, -0.1)_(0.4, 0.5, -0.8, 0.0)_1.034973_System.String[];HandLeft_(-0.6, -0.3, -0.4)_(0.7, 0.4, -0.3, 0.4)_1.013731_System.String[];HandRight_(0.4, -0.7, -0.3)_(-0.3, -0.5, -0.5, 0.6)_1.034973_System.String[];HandRight_(-0.4, -0.3, -0.3)_(0.0, -0.7, -0.6, 0.4)_1.013731_System.String[];0.3351;0.0073;-0.0048;81.0158;79.6577;1.1501;1.3462;-75.7806;87.5028;350.4487;356.4489;273.0583;219.3862;3.4051;356.5744
0.2235;0.6079;False;False;81.2162;79.5833;-0.0050;0.1060;-75.3962;87.8935;359.7577;359.9250;278.9346;241.9034;0.0114;-0.0005;-0.4572;-0.0001;-0.0004;0.0218;-0.2452;-0.1367;126909;71.85786;Infinity;1748.92;80.7109;79.0465;1.5606;1.2670;-76.0831;87.8881;353.5962;354.5455;313.3674;197.8082;355.6411;5.2615;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, -0.7, -0.1)_(0.3, 0.5, -0.8, 0.0)_1.034973_System.String[];HandLeft_(-0.6, -0.3, -0.5)_(0.7, 0.4, -0.3, 0.4)_1.013731_System.String[];HandRight_(0.4, -0.7, -0.2)_(-0.3, -0.5, -0.5, 0.6)_1.034973_System.String[];HandRight_(-0.4, -0.3, -0.3)_(-0.1, -0.7, -0.6, 0.4)_1.013731_System.String[];0.3767;0.0073;-0.0048;81.0106;79.6408;1.1501;1.3477;-75.7799;87.4944;350.4807;355.4021;273.0023;219.6120;3.4511;356.6327
