AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
0.0401;0.0193;False;False;81.0291;81.0291;-0.0036;-0.0036;-75.3304;-75.3304;359.8339;359.8339;271.6667;271.6667;0.0964;0.0964; ; ; ; ; ; ;23019;71.16606;273.48;80.3973;-85.9025;1.2061;1.0459;-75.8817;87.7100;352.5336;352.5499;259.1820;163.1566;1.7459;359.7025;;;HandLeft_(0.0, -0.4, 0.2)_(0.6, 0.6, -0.5, 0.3)_1.039649_System.String[];HandLeft_(1.0, -0.2, 0.4)_(0.5, 0.6, -0.6, 0.3)_1.020326_System.String[];HandRight_(0.2, -0.3, 0.3)_(-0.1, -0.7, -0.5, 0.4)_1.039649_System.String[];HandRight_(1.3, -0.2, 0.4)_(0.3, 0.6, 0.6, -0.5)_1.020326_System.String[];0.0000;0.0044;-0.0172
0.0361;0.0173;False;False;81.0286;81.0286;-0.0036;-0.0036;-75.3305;-75.3305;359.8327;359.8327;271.6707;271.6707;0.0955;0.0955;-0.0086;0.0000;0.0000;-0.0011;-0.0011;-0.0086;23020;34.96607;273.56;80.3973;-85.9025;1.2061;1.0459;-75.8817;87.7100;352.5336;352.5499;259.1820;163.1566;1.7459;359.7025;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.4, 0.2)_(0.6, 0.6, -0.5, 0.3)_1.039649_System.String[];HandLeft_(1.0, -0.2, 0.4)_(0.5, 0.6, -0.6, 0.3)_1.020326_System.String[];HandRight_(0.2, -0.3, 0.3)_(-0.2, -0.7, -0.5, 0.4)_1.039649_System.String[];HandRight_(1.3, -0.2, 0.4)_(0.3, 0.6, 0.6, -0.5)_1.020326_System.String[];0.0868;0.0044;-0.0172
0.0192;0.0092;False;False;81.0278;81.0278;-0.0036;-0.0036;-75.3306;-75.3306;359.8318;359.8318;271.6760;271.6760;0.0954;0.0954;-0.0138;0.0000;0.0000;-0.0010;-0.0010;-0.0138;23026;58.3744;273.64;80.3962;-85.9023;1.2061;1.0459;-75.8817;87.7095;352.5316;352.5486;259.1903;163.1552;1.7453;359.7024;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.4, 0.2)_(0.6, 0.6, -0.5, 0.3)_1.039649_System.String[];HandLeft_(1.0, -0.2, 0.4)_(0.5, 0.6, -0.6, 0.3)_1.020326_System.String[];HandRight_(0.2, -0.3, 0.3)_(-0.2, -0.7, -0.5, 0.4)_1.039649_System.String[];HandRight_(1.3, -0.2, 0.4)_(0.3, 0.6, 0.6, -0.5)_1.020326_System.String[];0.1614;0.0044;-0.0172
0.0113;0.0054;False;False;81.0269;81.0269;-0.0036;-0.0036;-75.3307;-75.3307;359.8315;359.8315;271.6801;271.6801;0.0954;0.0954;-0.0136;0.0000;0.0000;-0.0010;-0.0010;-0.0136;23031;67.25642;273.71;80.3952;-85.9021;1.2061;1.0459;-75.8817;87.7089;352.5310;352.5483;259.1948;163.1559;1.7455;359.7024;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.4, 0.2)_(0.6, 0.6, -0.5, 0.3)_1.039649_System.String[];HandLeft_(1.0, -0.1, 0.4)_(0.5, 0.6, -0.6, 0.3)_1.020326_System.String[];HandRight_(0.2, -0.3, 0.3)_(-0.2, -0.7, -0.5, 0.4)_1.039649_System.String[];HandRight_(1.3, -0.2, 0.4)_(0.3, 0.5, 0.6, -0.5)_1.020326_System.String[];0.2309;0.0044;-0.0172
0.0067;0.0032;False;False;81.0259;81.0259;-0.0036;-0.0036;-75.3307;-75.3307;359.8315;359.8315;271.6816;271.6816;0.0955;0.0955;-0.0153;0.0000;0.0000;-0.0009;-0.0009;-0.0153;23036;69.6414;273.78;80.3942;-85.9018;1.2061;1.0459;-75.8818;87.7082;352.5311;352.5481;259.1969;163.1560;1.7455;359.7024;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.4, 0.2)_(0.6, 0.6, -0.5, 0.3)_1.039649_System.String[];HandLeft_(1.0, -0.1, 0.4)_(0.5, 0.6, -0.6, 0.3)_1.020326_System.String[];HandRight_(0.2, -0.3, 0.3)_(-0.2, -0.7, -0.5, 0.4)_1.039649_System.String[];HandRight_(1.3, -0.2, 0.4)_(0.3, 0.6, 0.6, -0.5)_1.020326_System.String[];0.3016;0.0044;-0.0172
0.0039;0.0019;False;False;81.0247;81.0247;-0.0036;-0.0036;-75.3308;-75.3308;359.8317;359.8317;271.6840;271.6840;0.0956;0.0956;-0.0163;0.0000;0.0000;-0.0009;-0.0009;-0.0163;23041;71.43222;273.85;80.3931;-85.9016;1.2061;1.0459;-75.8818;87.7075;352.5312;352.5483;259.1984;163.1550;1.7456;359.7024;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.4, 0.2)_(0.6, 0.6, -0.5, 0.3)_1.039649_System.String[];HandLeft_(1.0, -0.1, 0.4)_(0.5, 0.6, -0.6, 0.3)_1.020326_System.String[];HandRight_(0.2, -0.3, 0.3)_(-0.2, -0.7, -0.5, 0.4)_1.039649_System.String[];HandRight_(1.3, -0.2, 0.4)_(0.3, 0.6, 0.6, -0.5)_1.020326_System.String[];0.3708;0.0044;-0.0172
0.0023;0.0011;False;False;81.0236;81.0236;-0.0036;-0.0036;-75.3308;-75.3308;359.8320;359.8320;271.6885;271.6885;0.0957;0.0957;-0.0177;0.0000;0.0000;-0.0008;-0.0008;-0.0177;23046;71.31503;273.92;80.3919;-85.9013;1.2061;1.0459;-75.8818;87.7068;352.5316;352.5483;259.2029;163.1534;1.7456;359.7024;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.4, 0.2)_(0.6, 0.6, -0.5, 0.3)_1.039649_System.String[];HandLeft_(1.0, -0.1, 0.4)_(0.5, 0.6, -0.6, 0.3)_1.020326_System.String[];HandRight_(0.2, -0.3, 0.3)_(-0.2, -0.7, -0.6, 0.4)_1.039649_System.String[];HandRight_(1.3, -0.2, 0.4)_(0.3, 0.6, 0.6, -0.5)_1.020326_System.String[];0.4414;0.0044;-0.0172
0.0014;0.0007;False;False;81.0224;81.0224;-0.0036;-0.0036;-75.3309;-75.3309;359.8323;359.8323;271.6914;271.6914;0.0957;0.0957;-0.0169;0.0000;0.0000;-0.0009;-0.0009;-0.0169;23051;71.89097;273.99;80.3907;-85.9010;1.2061;1.0459;-75.8818;87.7060;352.5318;352.5488;259.2059;163.1530;1.7456;359.7024;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.4, 0.2)_(0.6, 0.6, -0.5, 0.3)_1.039649_System.String[];HandLeft_(1.0, -0.1, 0.4)_(0.5, 0.6, -0.6, 0.3)_1.020326_System.String[];HandRight_(0.2, -0.3, 0.3)_(-0.2, -0.7, -0.5, 0.4)_1.039649_System.String[];HandRight_(1.3, -0.2, 0.4)_(0.3, 0.5, 0.6, -0.5)_1.020326_System.String[];0.5110;0.0044;-0.0172
0.0008;0.0004;False;False;81.0213;81.0213;-0.0036;-0.0036;-75.3310;-75.3310;359.8329;359.8329;271.6963;271.6963;0.0957;0.0957;-0.0151;0.0000;0.0000;-0.0009;-0.0009;-0.0151;23056;71.81276;274.06;80.3895;-85.9008;1.2061;1.0459;-75.8818;87.7052;352.5323;352.5491;259.2102;163.1528;1.7454;359.7024;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.4, 0.2)_(0.6, 0.6, -0.5, 0.3)_1.039649_System.String[];HandLeft_(1.0, -0.1, 0.4)_(0.5, 0.6, -0.6, 0.3)_1.020326_System.String[];HandRight_(0.2, -0.3, 0.3)_(-0.2, -0.7, -0.5, 0.4)_1.039649_System.String[];HandRight_(1.3, -0.2, 0.4)_(0.3, 0.5, 0.6, -0.5)_1.020326_System.String[];0.5811;0.0044;-0.0172
0.0005;0.0002;False;False;81.0203;81.0203;-0.0036;-0.0036;-75.3310;-75.3310;359.8336;359.8336;271.7005;271.7005;0.0956;0.0956;-0.0133;0.0000;0.0000;-0.0010;-0.0010;-0.0133;23061;68.91956;274.13;80.3884;-85.9004;1.2061;1.0459;-75.8819;87.7043;352.5330;352.5489;259.2148;163.1535;1.7452;359.7024;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.4, 0.2)_(0.6, 0.6, -0.5, 0.3)_1.039649_System.String[];HandLeft_(1.0, -0.1, 0.4)_(0.5, 0.6, -0.6, 0.3)_1.020326_System.String[];HandRight_(0.2, -0.3, 0.3)_(-0.2, -0.7, -0.6, 0.4)_1.039649_System.String[];HandRight_(1.3, -0.2, 0.4)_(0.3, 0.5, 0.6, -0.5)_1.020326_System.String[];0.6545;0.0044;-0.0172
