AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
0.0000;0.0000;False;False;82.2000;82.2000;0.9557;0.9557;25.2000;25.2000;0.0000;0.0000;208.4238;208.4238;0.0000;0.0000; ; ; ; ; ; ;205670;70.50045;2860.61;82.4043;108.0989;2.1768;2.0201;24.3856;68.1262;352.6749;352.5057;195.9558;219.5376;1.6148;359.7069;;;HandLeft_(0.0, -0.6, 0.3)_(0.7, 0.3, -0.5, 0.5)_1.039649_System.String[];HandLeft_(1.0, -0.1, 0.4)_(0.5, 0.5, -0.7, 0.2)_1.020326_System.String[];HandRight_(0.1, -0.6, 0.4)_(-0.5, -0.6, -0.5, 0.4)_1.039649_System.String[];HandRight_(1.3, -0.1, 0.4)_(-0.2, -0.7, -0.5, 0.5)_1.020326_System.String[];0.0000;0.0237;0.0063
0.0000;0.0000;False;False;82.2000;82.2000;0.8549;0.8549;25.2000;25.2000;0.0000;0.0000;208.4238;208.4238;0.0000;0.0000;0.0000;-1.7307;-1.7307;0.0000;0.0000;0.0000;205675;69.24348;2860.68;82.4043;108.0989;2.0879;1.9312;24.3856;68.1262;352.6749;352.5057;195.9558;219.5376;1.6148;359.7069;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.6, 0.3)_(0.7, 0.3, -0.5, 0.5)_1.039649_System.String[];HandLeft_(1.0, -0.1, 0.4)_(0.5, 0.5, -0.7, 0.2)_1.020326_System.String[];HandRight_(0.1, -0.6, 0.4)_(-0.5, -0.6, -0.5, 0.4)_1.039649_System.String[];HandRight_(1.3, -0.1, 0.4)_(-0.3, -0.6, -0.5, 0.5)_1.020326_System.String[];0.0776;0.0237;0.0063
0.0000;0.0000;False;False;82.2000;82.2000;0.7118;0.7118;25.2000;25.2000;0.0000;0.0000;208.4238;208.4238;0.0000;0.0000;0.0000;-2.2938;-2.2938;0.0000;0.0000;0.0000;205680;69.09705;2860.76;82.4043;108.0989;1.9562;1.7995;24.3856;68.1262;352.6749;352.5057;195.9558;219.5376;1.6148;359.7069;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.6, 0.3)_(0.7, 0.3, -0.5, 0.5)_1.039649_System.String[];HandLeft_(1.0, -0.1, 0.4)_(0.5, 0.5, -0.7, 0.1)_1.020326_System.String[];HandRight_(0.1, -0.6, 0.4)_(-0.5, -0.6, -0.5, 0.4)_1.039649_System.String[];HandRight_(1.3, -0.1, 0.4)_(-0.3, -0.7, -0.5, 0.4)_1.020326_System.String[];0.1492;0.0237;0.0063
0.0000;0.0000;False;False;82.2000;82.2000;0.5257;0.5257;25.2000;25.2000;0.0000;0.0000;208.4238;208.4238;0.0000;0.0000;0.0000;-3.0341;-3.0341;0.0000;0.0000;0.0000;205685;69.70844;2860.82;82.4043;108.0988;1.7820;1.6253;24.3856;68.1262;352.6749;352.5057;195.9558;219.5376;1.6148;359.7069;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.6, 0.3)_(0.7, 0.3, -0.5, 0.5)_1.039649_System.String[];HandLeft_(1.0, -0.1, 0.4)_(0.5, 0.5, -0.7, 0.1)_1.020326_System.String[];HandRight_(0.1, -0.6, 0.4)_(-0.5, -0.6, -0.5, 0.4)_1.039649_System.String[];HandRight_(1.3, -0.1, 0.4)_(-0.2, -0.7, -0.5, 0.5)_1.020326_System.String[];0.2190;0.0237;0.0063
0.0000;0.0000;False;False;82.2000;82.2000;0.3008;0.3008;25.2000;25.2000;0.0000;0.0000;208.4238;208.4238;0.0000;0.0000;0.0000;-3.5817;-3.5817;0.0000;0.0000;0.0000;205690;71.26115;2860.89;82.4043;108.0989;1.5623;1.4056;24.3856;68.1262;352.6749;352.5057;195.9558;219.5376;1.6148;359.7069;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.6, 0.3)_(0.7, 0.3, -0.5, 0.5)_1.039649_System.String[];HandLeft_(1.0, -0.2, 0.4)_(0.5, 0.5, -0.7, 0.2)_1.020326_System.String[];HandRight_(0.1, -0.6, 0.4)_(-0.5, -0.6, -0.5, 0.4)_1.039649_System.String[];HandRight_(1.3, -0.1, 0.4)_(-0.3, -0.7, -0.5, 0.5)_1.020326_System.String[];0.2874;0.0237;0.0063
0.0000;0.0000;False;False;82.1998;82.1998;0.0574;0.0574;25.1997;25.1997;359.9502;359.9502;208.4240;208.4240;0.0000;0.0000;-0.0010;-2.3047;-2.3047;-0.0016;-0.0016;-0.0010;205695;70.59715;2860.96;82.4044;108.0990;1.3089;1.1523;24.3859;68.1264;352.6549;352.4852;195.9554;219.5381;1.6193;359.7061;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.6, 0.3)_(0.7, 0.3, -0.5, 0.5)_1.039649_System.String[];HandLeft_(1.0, -0.1, 0.4)_(0.5, 0.5, -0.7, 0.2)_1.020326_System.String[];HandRight_(0.1, -0.6, 0.4)_(-0.5, -0.6, -0.5, 0.4)_1.039649_System.String[];HandRight_(1.3, -0.1, 0.4)_(-0.3, -0.7, -0.5, 0.4)_1.020326_System.String[];0.3579;0.0237;0.0063
0.0000;0.0000;False;False;82.1993;82.1993;-0.0569;-0.0569;25.1988;25.1988;359.7849;359.7849;208.4317;208.4317;0.0001;0.0001;-0.0018;-1.0066;-1.0066;-0.0030;-0.0030;-0.0018;205700;71.0011;2861.03;82.4055;108.1000;1.1689;1.0129;24.3880;68.1279;352.4969;352.3233;195.9565;219.5441;1.6546;359.6998;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.6, 0.3)_(0.7, 0.3, -0.5, 0.5)_1.039649_System.String[];HandLeft_(1.0, -0.1, 0.4)_(0.5, 0.6, -0.6, 0.2)_1.020326_System.String[];HandRight_(0.1, -0.6, 0.4)_(-0.5, -0.6, -0.5, 0.4)_1.039649_System.String[];HandRight_(1.3, -0.1, 0.4)_(-0.3, -0.7, -0.5, 0.4)_1.020326_System.String[];0.4277;0.0237;0.0063
0.0000;0.0000;False;False;82.1990;82.1990;-0.0943;-0.0943;25.1982;25.1982;359.6742;359.6742;208.4334;208.4334;0.0000;0.0000;0.0001;-0.1494;-0.1494;0.0003;0.0003;0.0001;205705;70.62725;2861.10;82.4063;108.1009;1.1220;0.9665;24.3896;68.1291;352.3738;352.1976;195.9572;219.5470;1.6821;359.6948;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.6, 0.3)_(0.7, 0.3, -0.5, 0.5)_1.039649_System.String[];HandLeft_(1.0, -0.1, 0.4)_(0.5, 0.5, -0.7, 0.2)_1.020326_System.String[];HandRight_(0.1, -0.6, 0.4)_(-0.5, -0.6, -0.5, 0.4)_1.039649_System.String[];HandRight_(1.3, -0.1, 0.4)_(-0.3, -0.6, -0.5, 0.5)_1.020326_System.String[];0.4978;0.0237;0.0063
0.0000;0.0000;False;False;82.1989;82.1989;-0.0948;-0.0948;25.1980;25.1980;359.6494;359.6494;208.4338;208.4338;0.0000;0.0000;-0.0017;0.1224;0.1224;-0.0030;-0.0030;-0.0017;205710;71.21686;2861.17;82.4066;108.1012;1.1161;0.9607;24.3902;68.1295;352.3317;352.1543;195.9558;219.5471;1.6914;359.6931;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.6, 0.3)_(0.7, 0.3, -0.5, 0.5)_1.039649_System.String[];HandLeft_(1.0, -0.1, 0.4)_(0.5, 0.5, -0.7, 0.2)_1.020326_System.String[];HandRight_(0.1, -0.6, 0.4)_(-0.5, -0.6, -0.5, 0.4)_1.039649_System.String[];HandRight_(1.3, -0.1, 0.4)_(-0.3, -0.6, -0.5, 0.4)_1.020326_System.String[];0.5667;0.0237;0.0061
0.0000;0.0000;False;False;82.1990;82.1990;-0.0811;-0.0811;25.1982;25.1982;359.6858;359.6858;208.4327;208.4327;0.0000;0.0000;-0.0002;0.2384;0.2384;-0.0005;-0.0005;-0.0002;205715;69.95583;2861.24;82.4064;108.1010;1.1275;0.9719;24.3898;68.1293;352.3564;352.1798;195.9554;219.5470;1.6858;359.6940;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.6, 0.3)_(0.7, 0.3, -0.5, 0.5)_1.039649_System.String[];HandLeft_(1.0, -0.1, 0.4)_(0.5, 0.6, -0.6, 0.2)_1.020326_System.String[];HandRight_(0.1, -0.6, 0.4)_(-0.5, -0.6, -0.5, 0.4)_1.039649_System.String[];HandRight_(1.3, -0.1, 0.4)_(-0.3, -0.6, -0.6, 0.4)_1.020326_System.String[];0.6375;0.0237;0.0051
