AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
0.0830;0.2446;False;False;-96.8999;-96.8999;0.0461;0.0461;-106.3999;-106.3999;0.0007;0.0007;36.8828;36.8828;0.0000;0.0000; ; ; ; ; ; ;214555;71.3196;1751.99;-97.1411;64.2580;1.2274;1.2945;-106.0936;105.6007;352.5202;352.6649;32.7230;223.5874;0.5425;1.5647;;;HandLeft_(-0.1, -0.4, -0.4)_(0.6, 0.5, -0.7, 0.0)_0.9146432_System.String[];HandLeft_(0.1, -0.4, -0.3)_(0.8, 0.4, -0.5, 0.2)_0.9490889_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.1, -0.6, -0.4, 0.7)_0.9146432_System.String[];HandRight_(0.3, -0.3, -0.2)_(0.0, -0.8, -0.4, 0.3)_0.9490889_System.String[];0.0000;-0.0022;-0.0048
0.0545;0.2513;False;False;-96.8997;-96.8997;0.0461;0.0461;-106.3996;-106.3996;-0.0006;-0.0006;36.8839;36.8839;0.0000;0.0000;0.0064;0.0000;0.0000;0.0086;0.0086;0.0064;214559;66.59794;1752.05;-97.1409;64.2574;1.2274;1.2945;-106.0934;105.6004;352.5193;352.6628;32.7235;223.5871;0.5425;1.5652;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.4)_(0.6, 0.5, -0.7, 0.0)_0.9146432_System.String[];HandLeft_(0.1, -0.4, -0.3)_(0.8, 0.4, -0.5, 0.2)_0.9490889_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.1, -0.6, -0.4, 0.7)_0.9146432_System.String[];HandRight_(0.3, -0.3, -0.2)_(0.0, -0.8, -0.5, 0.3)_0.9490889_System.String[];0.0684;-0.0022;-0.0048
0.0322;0.2573;False;False;-96.8990;-96.8990;0.0461;0.0461;-106.3987;-106.3987;-0.0022;-0.0022;36.8824;36.8824;0.0000;0.0000;0.0110;0.0000;0.0000;0.0147;0.0147;0.0110;214564;68.6609;1752.12;-97.1404;64.2547;1.2274;1.2945;-106.0926;105.5985;352.5177;352.6557;32.7227;223.5847;0.5426;1.5666;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.4)_(0.6, 0.5, -0.7, 0.0)_0.9146432_System.String[];HandLeft_(0.1, -0.4, -0.3)_(0.7, 0.4, -0.5, 0.2)_0.9490889_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.1, -0.6, -0.4, 0.7)_0.9146432_System.String[];HandRight_(0.3, -0.3, -0.2)_(0.0, -0.8, -0.5, 0.3)_0.9490889_System.String[];0.1393;-0.0022;-0.0048
0.0190;0.2611;False;False;-96.8982;-96.8982;0.0461;0.0461;-106.3976;-106.3976;-0.0031;-0.0031;36.8821;36.8821;0.0000;0.0000;0.0134;0.0000;0.0000;0.0179;0.0179;0.0134;214569;70.30016;1752.19;-97.1395;64.2494;1.2274;1.2945;-106.0915;105.5949;352.5165;352.6479;32.7222;223.5827;0.5427;1.5683;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.4)_(0.6, 0.5, -0.7, 0.0)_0.9146432_System.String[];HandLeft_(0.1, -0.4, -0.3)_(0.8, 0.4, -0.5, 0.2)_0.9490889_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.1, -0.6, -0.5, 0.7)_0.9146432_System.String[];HandRight_(0.3, -0.3, -0.2)_(0.0, -0.8, -0.5, 0.3)_0.9490889_System.String[];0.2086;-0.0022;-0.0048
0.0112;0.2623;False;False;-96.8971;-96.8971;0.0461;0.0461;-106.3962;-106.3962;-0.0035;-0.0035;36.8823;36.8823;0.0000;0.0000;0.0158;0.0000;0.0000;0.0210;0.0210;0.0158;214574;69.60912;1752.27;-97.1386;64.2417;1.2274;1.2945;-106.0902;105.5896;352.5162;352.6409;32.7223;223.5812;0.5427;1.5698;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.4)_(0.6, 0.5, -0.7, 0.0)_0.9146432_System.String[];HandLeft_(0.1, -0.4, -0.3)_(0.8, 0.4, -0.5, 0.2)_0.9490889_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.1, -0.6, -0.4, 0.7)_0.9146432_System.String[];HandRight_(0.3, -0.3, -0.2)_(0.0, -0.8, -0.4, 0.3)_0.9490889_System.String[];0.2797;-0.0022;-0.0048
0.0066;0.2610;False;False;-96.8960;-96.8960;0.0461;0.0461;-106.3947;-106.3947;-0.0031;-0.0031;36.8806;36.8806;0.0000;0.0000;0.0157;0.0000;0.0000;0.0209;0.0209;0.0157;214579;70.52094;1752.33;-97.1375;64.2314;1.2274;1.2945;-106.0888;105.5825;352.5163;352.6353;32.7209;223.5799;0.5427;1.5709;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.4)_(0.6, 0.5, -0.7, 0.0)_0.9146432_System.String[];HandLeft_(0.1, -0.4, -0.3)_(0.8, 0.4, -0.5, 0.2)_0.9490889_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.1, -0.6, -0.4, 0.7)_0.9146432_System.String[];HandRight_(0.3, -0.3, -0.2)_(0.0, -0.9, -0.4, 0.3)_0.9490889_System.String[];0.3495;-0.0022;-0.0048
0.0039;0.2493;False;False;-96.8949;-96.8949;0.0461;0.0461;-106.3932;-106.3932;-0.0027;-0.0027;36.8814;36.8814;0.0000;0.0000;0.0168;0.0000;0.0000;0.0224;0.0224;0.0168;214584;70.13425;1752.41;-97.1363;64.2188;1.2274;1.2945;-106.0872;105.5739;352.5168;352.6317;32.7211;223.5786;0.5427;1.5717;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.4)_(0.6, 0.5, -0.7, 0.0)_0.9146432_System.String[];HandLeft_(0.1, -0.4, -0.3)_(0.8, 0.4, -0.4, 0.2)_0.9490889_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.1, -0.6, -0.4, 0.7)_0.9146432_System.String[];HandRight_(0.3, -0.3, -0.2)_(0.0, -0.9, -0.4, 0.3)_0.9490889_System.String[];0.4202;-0.0022;-0.0048
0.0023;0.2239;False;False;-96.8937;-96.8937;0.0461;0.0461;-106.3916;-106.3916;-0.0020;-0.0020;36.8825;36.8825;0.0000;0.0000;0.0164;0.0000;0.0000;0.0219;0.0219;0.0164;214589;70.73051;1752.48;-97.1351;64.2037;1.2274;1.2945;-106.0857;105.5635;352.5174;352.6292;32.7224;223.5770;0.5427;1.5722;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.4)_(0.6, 0.5, -0.7, 0.0)_0.9146432_System.String[];HandLeft_(0.1, -0.4, -0.3)_(0.8, 0.4, -0.5, 0.2)_0.9490889_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.1, -0.6, -0.4, 0.7)_0.9146432_System.String[];HandRight_(0.3, -0.3, -0.2)_(0.0, -0.9, -0.4, 0.3)_0.9490889_System.String[];0.4899;-0.0022;-0.0049
0.0014;0.1760;False;False;-96.8926;-96.8926;0.0461;0.0461;-106.3901;-106.3901;-0.0012;-0.0012;36.8806;36.8806;0.0000;0.0000;0.0164;0.0000;0.0000;0.0219;0.0219;0.0164;214594;69.92886;1752.55;-97.1340;64.1868;1.2274;1.2945;-106.0841;105.5520;352.5181;352.6284;32.7211;223.5753;0.5426;1.5724;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.4)_(0.6, 0.5, -0.7, 0.0)_0.9146432_System.String[];HandLeft_(0.1, -0.4, -0.3)_(0.8, 0.4, -0.5, 0.2)_0.9490889_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.1, -0.6, -0.4, 0.7)_0.9146432_System.String[];HandRight_(0.3, -0.3, -0.2)_(0.0, -0.8, -0.4, 0.3)_0.9490889_System.String[];0.5602;-0.0022;-0.0078
0.0008;0.1096;False;False;-96.8915;-96.8915;0.0461;0.0461;-106.3887;-106.3887;-0.0005;-0.0005;36.8809;36.8809;0.0000;0.0000;0.0162;0.0000;0.0000;0.0216;0.0216;0.0162;214599;70.98579;1752.61;-97.1329;64.1679;1.2274;1.2945;-106.0827;105.5389;352.5190;352.6294;32.7215;223.5725;0.5425;1.5720;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.4)_(0.6, 0.5, -0.7, 0.0)_0.9146432_System.String[];HandLeft_(0.1, -0.4, -0.3)_(0.8, 0.4, -0.5, 0.2)_0.9490889_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.0, -0.6, -0.4, 0.7)_0.9146432_System.String[];HandRight_(0.3, -0.3, -0.2)_(0.0, -0.8, -0.5, 0.3)_0.9490889_System.String[];0.6294;-0.0022;-0.0123
