AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate ;FrameRate-XRDevice;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB;VRPosXA;VRPosXB;VRPosYA;VRPosYB;VRPosZA;VRPosZB;VRRotXA;VRRotXB;VRRotYA;VRRotYB;VRRotZA;VRRotZB
0.0000;0.0000;False;False;53.6000;63.9413;0.0364;0.0292;72.1998;106.2404;359.9574;359.9329;180.3439;235.6641;0.0000;0.0193; ; ; ; ; ; ;136919;71.51073;Infinity;1412.88;54.4800;63.4561;1.4642;1.3463;71.5816;105.8585;354.2880;352.8194;221.3359;217.1503;355.0565;2.4187;;;HandLeft_(0.4, -0.5, -0.1)_(0.5, 0.4, -0.7, -0.1)_1.025087_System.String[];HandLeft_(-0.5, -0.5, 0.1)_(0.7, 0.5, -0.3, 0.3)_0.9962534_System.String[];HandRight_(0.6, -0.5, -0.2)_(0.0, -0.3, -0.4, 0.8)_1.025087_System.String[];HandRight_(-0.3, -0.5, 0.2)_(0.1, 0.7, 0.6, -0.4)_0.9962534_System.String[];0.0000;-0.0192;-0.0166;54.0308;64.0308;1.1875;1.2176;72.1504;105.7105;354.4063;9.6133;199.1527;248.0818;358.6215;357.8223
0.0000;0.0000;False;False;53.6000;63.9413;0.0392;0.0336;72.1998;106.2405;359.9737;359.9545;180.3435;235.6645;0.0000;0.0151;-0.0013;0.0521;0.0852;-0.0014;-0.0002;0.0000;136922;69.52779;Infinity;1412.92;54.4800;63.4556;1.4670;1.3509;71.5812;105.8583;354.3014;352.8398;221.3344;217.1519;355.0682;2.4069;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.4, -0.5, -0.1)_(0.5, 0.4, -0.7, -0.1)_1.025087_System.String[];HandLeft_(-0.5, -0.5, 0.1)_(0.7, 0.5, -0.3, 0.3)_0.9962534_System.String[];HandRight_(0.6, -0.5, -0.2)_(0.0, -0.3, -0.4, 0.8)_1.025087_System.String[];HandRight_(-0.3, -0.5, 0.2)_(0.1, 0.7, 0.6, -0.4)_0.9962534_System.String[];0.0449;-0.0192;-0.0168;54.0315;64.0331;1.1908;1.2219;72.1493;105.7127;354.4586;9.8586;198.6186;249.3845;358.8448;357.7769
0.0000;0.0000;False;False;53.6000;63.9414;0.0412;0.0369;72.1998;106.2405;359.9849;359.9703;180.3422;235.6635;0.0000;0.0119;-0.0010;0.0398;0.0671;-0.0019;-0.0001;0.0000;136925;70.67645;Infinity;1412.97;54.4800;63.4553;1.4691;1.3542;71.5810;105.8582;354.3109;352.8552;221.3325;217.1525;355.0765;2.3981;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.4, -0.5, -0.1)_(0.5, 0.4, -0.7, -0.1)_1.025087_System.String[];HandLeft_(-0.5, -0.5, 0.1)_(0.7, 0.5, -0.4, 0.3)_0.9962534_System.String[];HandRight_(0.6, -0.5, -0.2)_(0.0, -0.3, -0.4, 0.8)_1.025087_System.String[];HandRight_(-0.3, -0.5, 0.2)_(0.1, 0.7, 0.6, -0.4)_0.9962534_System.String[];0.0867;-0.0192;-0.0178;54.0321;64.0349;1.1933;1.2250;72.1484;105.7151;354.3139;10.0404;198.0106;250.9743;359.1810;357.8438
0.0000;0.0000;False;False;53.6000;63.9414;0.0427;0.0394;72.1998;106.2406;359.9931;359.9825;180.3428;235.6634;0.0000;0.0093;-0.0008;0.0299;0.0520;0.0000;-0.0001;0.0000;136928;71.14993;Infinity;1413.01;54.4800;63.4551;1.4706;1.3569;71.5807;105.8581;354.3177;352.8670;221.3318;217.1531;355.0826;2.3911;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.4, -0.5, -0.1)_(0.5, 0.4, -0.7, -0.1)_1.025087_System.String[];HandLeft_(-0.5, -0.5, 0.1)_(0.7, 0.5, -0.4, 0.3)_0.9962534_System.String[];HandRight_(0.6, -0.5, -0.2)_(0.0, -0.3, -0.4, 0.8)_1.025087_System.String[];HandRight_(-0.3, -0.5, 0.2)_(0.1, 0.7, 0.6, -0.4)_0.9962534_System.String[];0.1285;-0.0192;-0.0197;54.0335;64.0365;1.1954;1.2276;72.1480;105.7177;354.0453;10.2546;197.1040;252.6012;359.7205;357.8411
0.0000;0.0000;False;False;53.6000;63.9414;0.0438;0.0413;72.1999;106.2406;-0.0011;359.9914;180.3436;235.6619;0.0000;0.0073;-0.0002;0.0221;0.0397;-0.0012;0.0002;0.0000;136931;71.54959;Infinity;1413.05;54.4800;63.4549;1.4717;1.3589;71.5806;105.8580;354.3228;352.8757;221.3328;217.1523;355.0869;2.3859;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.4, -0.5, -0.1)_(0.5, 0.4, -0.8, -0.1)_1.025087_System.String[];HandLeft_(-0.5, -0.5, 0.1)_(0.7, 0.5, -0.4, 0.3)_0.9962534_System.String[];HandRight_(0.6, -0.5, -0.2)_(0.1, -0.3, -0.4, 0.8)_1.025087_System.String[];HandRight_(-0.3, -0.5, 0.2)_(0.1, 0.7, 0.6, -0.4)_0.9962534_System.String[];0.1703;-0.0192;-0.0213;54.0356;64.0376;1.1970;1.2299;72.1485;105.7201;353.7323;10.3834;195.8104;254.0571;0.4205;357.7471
0.0000;0.0000;False;False;53.6000;63.9414;0.0445;0.0428;72.1999;106.2406;0.0027;-0.0022;180.3432;235.6624;0.0000;0.0057;-0.0018;0.0161;0.0299;-0.0007;-0.0010;0.0000;136934;71.7366;Infinity;1413.09;54.4800;63.4547;1.4726;1.3604;71.5805;105.8579;354.3260;352.8820;221.3316;217.1529;355.0898;2.3819;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.4, -0.5, -0.1)_(0.5, 0.4, -0.8, -0.1)_1.025087_System.String[];HandLeft_(-0.5, -0.5, 0.1)_(0.7, 0.5, -0.4, 0.3)_0.9962534_System.String[];HandRight_(0.6, -0.5, -0.2)_(0.1, -0.3, -0.4, 0.8)_1.025087_System.String[];HandRight_(-0.3, -0.5, 0.2)_(0.1, 0.7, 0.6, -0.5)_0.9962534_System.String[];0.2119;-0.0192;-0.0222;54.0395;64.0387;1.1980;1.2319;72.1496;105.7224;353.4957;10.3718;193.7632;255.2911;1.4512;357.5328
0.0000;0.0000;False;False;53.6000;63.9414;0.0451;0.0438;72.1998;106.2405;0.0048;0.0021;180.3423;235.6631;0.0000;0.0044;-0.0007;0.0115;0.0221;-0.0013;-0.0003;0.0000;136937;71.54467;Infinity;1413.13;54.4800;63.4546;1.4732;1.3615;71.5804;105.8579;354.3280;352.8862;221.3315;217.1540;355.0915;2.3790;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.4, -0.5, -0.1)_(0.5, 0.4, -0.8, -0.1)_1.025087_System.String[];HandLeft_(-0.5, -0.5, 0.1)_(0.7, 0.5, -0.4, 0.3)_0.9962534_System.String[];HandRight_(0.6, -0.5, -0.2)_(0.0, -0.3, -0.4, 0.8)_1.025087_System.String[];HandRight_(-0.3, -0.5, 0.2)_(0.1, 0.7, 0.6, -0.5)_0.9962534_System.String[];0.2540;-0.0192;-0.0222;54.0453;64.0395;1.1986;1.2337;72.1509;105.7245;353.3147;10.2377;190.8927;256.2972;2.8621;357.1551
0.0000;0.0000;False;False;53.6000;63.9413;0.0455;0.0446;72.1998;106.2405;0.0059;0.0047;180.3408;235.6640;0.0000;0.0034;-0.0022;0.0080;0.0161;-0.0018;-0.0013;0.0000;136940;71.74203;Infinity;1413.18;54.4801;63.4545;1.4736;1.3623;71.5803;105.8579;354.3291;352.8889;221.3297;217.1550;355.0924;2.3770;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.4, -0.5, -0.1)_(0.5, 0.4, -0.8, -0.1)_1.025087_System.String[];HandLeft_(-0.5, -0.5, 0.1)_(0.7, 0.5, -0.4, 0.3)_0.9962534_System.String[];HandRight_(0.6, -0.5, -0.2)_(0.0, -0.3, -0.4, 0.9)_1.025087_System.String[];HandRight_(-0.3, -0.5, 0.2)_(0.1, 0.7, 0.6, -0.5)_0.9962534_System.String[];0.2957;-0.0191;-0.0222;54.0541;64.0399;1.1993;1.2352;72.1526;105.7266;352.9512;10.0419;186.5298;257.1832;4.8484;356.7174
0.0000;0.0000;False;False;53.6000;63.9413;0.0458;0.0452;72.1997;106.2405;0.0064;0.0062;180.3392;235.6637;0.0000;0.0027;-0.0017;0.0055;0.0115;-0.0011;-0.0011;0.0000;136943;71.57283;Infinity;1413.22;54.4801;63.4544;1.4739;1.3629;71.5803;105.8578;354.3296;352.8903;221.3280;217.1557;355.0929;2.3756;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.4, -0.5, -0.1)_(0.5, 0.4, -0.8, -0.1)_1.025087_System.String[];HandLeft_(-0.5, -0.5, 0.1)_(0.7, 0.5, -0.4, 0.4)_0.9962534_System.String[];HandRight_(0.6, -0.5, -0.2)_(0.0, -0.3, -0.4, 0.9)_1.025087_System.String[];HandRight_(-0.3, -0.5, 0.2)_(0.1, 0.7, 0.6, -0.5)_0.9962534_System.String[];0.3378;-0.0188;-0.0222;54.0643;64.0401;1.1998;1.2362;72.1549;105.7284;352.5181;9.9174;181.1261;257.9957;7.4007;356.3904
0.0000;0.0000;False;False;53.6000;63.9412;0.0459;0.0455;72.1997;106.2404;0.0064;0.0070;180.3389;235.6645;0.0000;0.0021;-0.0009;0.0036;0.0080;-0.0024;-0.0005;0.0000;136946;71.5185;Infinity;1413.26;54.4801;63.4543;1.4741;1.3633;71.5802;105.8578;354.3297;352.8910;221.3275;217.1558;355.0930;2.3747;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.4, -0.5, -0.1)_(0.5, 0.3, -0.8, -0.1)_1.025087_System.String[];HandLeft_(-0.5, -0.5, 0.1)_(0.7, 0.5, -0.4, 0.4)_0.9962534_System.String[];HandRight_(0.6, -0.5, -0.2)_(0.0, -0.3, -0.4, 0.8)_1.025087_System.String[];HandRight_(-0.3, -0.5, 0.2)_(0.1, 0.7, 0.6, -0.5)_0.9962534_System.String[];0.3798;-0.0185;-0.0222;54.0757;64.0402;1.1992;1.2368;72.1579;105.7301;352.5556;9.8659;174.9355;258.7875;10.3260;356.1567
