AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
0.0000;-0.4619;False;False;81.0092;81.0092;-0.0027;-0.0027;-75.1205;-75.1205;359.8681;359.8681;273.3849;273.3849;0.1469;0.1469; ; ; ; ; ; ;41443;71.63341;491.72;80.8588;-87.2521;1.1967;1.1534;-75.4387;-85.1187;352.5244;352.5109;286.2133;79.3453;358.4523;359.7151;;;HandLeft_(-0.2, -0.4, -0.2)_(0.6, 0.7, -0.3, 0.1)_1.105294_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.6, 0.5, -0.6, 0.0)_0.9022688_System.String[];HandRight_(0.0, -0.4, -0.3)_(-0.3, -0.1, -0.6, 0.8)_1.105294_System.String[];HandRight_(0.1, -0.4, -0.3)_(0.0, 0.6, 0.4, -0.7)_0.9022688_System.String[];0.0000;-0.0428;-0.0122
0.0000;-0.4629;False;False;81.0092;81.0092;-0.0027;-0.0027;-75.1206;-75.1206;359.8682;359.8682;273.3868;273.3868;0.1460;0.1460;-0.0008;0.0000;0.0000;-0.0013;-0.0013;-0.0008;41448;69.48485;491.79;80.8588;-87.2521;1.1967;1.1534;-75.4387;-85.1187;352.5247;352.5109;286.2145;79.3453;358.4516;359.7151;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.6, 0.7, -0.3, 0.1)_1.105294_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.6, 0.5, -0.6, 0.0)_0.9022688_System.String[];HandRight_(0.0, -0.4, -0.3)_(-0.3, -0.1, -0.6, 0.7)_1.105294_System.String[];HandRight_(0.1, -0.4, -0.3)_(0.0, 0.6, 0.4, -0.7)_0.9022688_System.String[];0.0766;-0.0372;-0.0122
0.0000;-0.4634;False;False;81.0093;81.0093;-0.0027;-0.0027;-75.1207;-75.1207;359.8682;359.8682;273.3912;273.3912;0.1459;0.1459;0.0022;0.0000;0.0000;-0.0015;-0.0015;0.0022;41453;69.4377;491.86;80.8589;-87.2521;1.1967;1.1534;-75.4388;-85.1187;352.5247;352.5109;286.2188;79.3453;358.4513;359.7151;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.7, -0.3, 0.1)_1.105294_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.6, 0.5, -0.6, 0.1)_0.9022688_System.String[];HandRight_(0.0, -0.4, -0.3)_(-0.4, -0.1, -0.6, 0.7)_1.105294_System.String[];HandRight_(0.1, -0.4, -0.3)_(0.0, 0.6, 0.4, -0.7)_0.9022688_System.String[];0.1476;-0.0298;-0.0122
0.0000;-0.4638;False;False;81.0093;81.0093;-0.0027;-0.0027;-75.1208;-75.1208;359.8681;359.8681;273.3969;273.3969;0.1460;0.1460;0.0003;0.0000;0.0000;-0.0014;-0.0014;0.0003;41458;71.09521;491.93;80.8589;-87.2521;1.1967;1.1534;-75.4389;-85.1187;352.5246;352.5109;286.2244;79.3453;358.4514;359.7151;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.6, -0.4, 0.0)_1.105294_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.6, 0.5, -0.6, 0.1)_0.9022688_System.String[];HandRight_(0.0, -0.4, -0.3)_(-0.4, -0.1, -0.6, 0.7)_1.105294_System.String[];HandRight_(0.1, -0.4, -0.3)_(0.0, 0.6, 0.4, -0.7)_0.9022688_System.String[];0.2163;-0.0265;-0.0122
0.0000;-0.4640;False;False;81.0094;81.0094;-0.0027;-0.0027;-75.1209;-75.1209;359.8681;359.8681;273.4008;273.4008;0.1461;0.1461;0.0016;0.0000;0.0000;-0.0015;-0.0015;0.0016;41463;70.73088;492.00;80.8589;-87.2521;1.1967;1.1534;-75.4390;-85.1187;352.5245;352.5109;286.2286;79.3453;358.4514;359.7151;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.6, -0.4, 0.0)_1.105294_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.6, 0.5, -0.6, 0.1)_0.9022688_System.String[];HandRight_(0.0, -0.4, -0.3)_(-0.3, -0.1, -0.6, 0.7)_1.105294_System.String[];HandRight_(0.1, -0.4, -0.3)_(0.0, 0.6, 0.4, -0.7)_0.9022688_System.String[];0.2863;-0.0266;-0.0122
0.0000;-0.4641;False;False;81.0095;81.0095;-0.0027;-0.0027;-75.1210;-75.1210;359.8682;359.8682;273.4045;273.4045;0.1462;0.1462;0.0023;0.0000;0.0000;-0.0015;-0.0015;0.0023;41468;70.6591;492.07;80.8590;-87.2521;1.1967;1.1534;-75.4391;-85.1187;352.5246;352.5109;286.2322;79.3453;358.4516;359.7151;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.6, -0.5, -0.1)_1.105294_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.6, 0.5, -0.6, 0.1)_0.9022688_System.String[];HandRight_(0.0, -0.3, -0.3)_(-0.3, -0.1, -0.5, 0.8)_1.105294_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, 0.6, 0.4, -0.7)_0.9022688_System.String[];0.3560;-0.0262;-0.0122
0.0000;-0.4642;False;False;81.0098;81.0098;-0.0027;-0.0027;-75.1211;-75.1211;359.8684;359.8684;273.4080;273.4080;0.1463;0.1463;0.0035;0.0000;0.0000;-0.0016;-0.0016;0.0035;41473;70.78771;492.14;80.8592;-87.2521;1.1967;1.1534;-75.4392;-85.1187;352.5247;352.5109;286.2356;79.3453;358.4517;359.7151;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.6, 0.5, -0.5, -0.1)_1.105294_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.6, 0.5, -0.6, 0.0)_0.9022688_System.String[];HandRight_(0.0, -0.3, -0.3)_(-0.3, -0.1, -0.5, 0.8)_1.105294_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, 0.6, 0.4, -0.7)_0.9022688_System.String[];0.4255;-0.0220;-0.0122
0.0000;-0.4642;False;False;81.0100;81.0100;-0.0027;-0.0027;-75.1212;-75.1212;359.8683;359.8683;273.4130;273.4130;0.1463;0.1463;0.0042;0.0000;0.0000;-0.0016;-0.0016;0.0042;41478;71.06961;492.21;80.8594;-87.2521;1.1967;1.1534;-75.4393;-85.1187;352.5247;352.5109;286.2407;79.3453;358.4518;359.7151;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.6, 0.6, -0.5, -0.1)_1.105294_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.6, 0.4, -0.6, 0.1)_0.9022688_System.String[];HandRight_(0.0, -0.3, -0.3)_(-0.3, -0.1, -0.5, 0.8)_1.105294_System.String[];HandRight_(0.1, -0.3, -0.2)_(0.0, 0.6, 0.4, -0.7)_0.9022688_System.String[];0.4949;-0.0197;-0.0122
0.0000;-0.4642;False;False;81.0102;81.0102;-0.0027;-0.0027;-75.1213;-75.1213;359.8683;359.8683;273.4171;273.4171;0.1463;0.1463;0.0031;0.0000;0.0000;-0.0016;-0.0016;0.0031;41483;68.62524;492.28;80.8596;-87.2521;1.1967;1.1534;-75.4394;-85.1187;352.5247;352.5109;286.2447;79.3453;358.4517;359.7151;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.6, 0.6, -0.5, -0.1)_1.105294_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.6, 0.5, -0.6, 0.0)_0.9022688_System.String[];HandRight_(0.0, -0.3, -0.3)_(-0.3, -0.1, -0.5, 0.8)_1.105294_System.String[];HandRight_(0.1, -0.3, -0.2)_(0.0, 0.6, 0.4, -0.7)_0.9022688_System.String[];0.5672;-0.0196;-0.0122
0.0000;-0.4642;False;False;81.0105;81.0105;-0.0027;-0.0027;-75.1214;-75.1214;359.8683;359.8683;273.4223;273.4223;0.1463;0.1463;0.0037;0.0000;0.0000;-0.0016;-0.0016;0.0037;41488;70.43832;492.35;80.8599;-87.2521;1.1967;1.1534;-75.4395;-85.1187;352.5247;352.5109;286.2501;79.3453;358.4517;359.7151;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.6, -0.5, -0.1)_1.105294_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.6, 0.4, -0.7, 0.0)_0.9022688_System.String[];HandRight_(0.0, -0.4, -0.3)_(-0.4, -0.1, -0.5, 0.8)_1.105294_System.String[];HandRight_(0.1, -0.3, -0.2)_(0.0, 0.6, 0.4, -0.7)_0.9022688_System.String[];0.6357;-0.0196;-0.0122
