AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
-0.1151;0.0000;False;False;81.0090;81.0090;-0.0055;-0.0055;-75.3201;-75.3201;359.8201;359.8201;275.6127;275.6127;0.0672;0.0672; ; ; ; ; ; ;2507985;71.52459;5138.75;80.8563;-86.3598;1.1310;1.0986;-75.6388;-84.4001;352.4164;352.4639;266.9086;80.8600;1.2249;359.6533;;;HandLeft_(-0.1, -0.6, -0.1)_(0.6, 0.4, -0.6, 0.5)_1.073194_System.String[];HandLeft_(-0.1, -0.5, -0.3)_(0.3, 0.5, -0.7, 0.4)_1.07408_System.String[];HandRight_(0.0, -0.6, -0.1)_(-0.4, -0.5, 0.0, 0.8)_1.073194_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.3, -0.5, -0.3, 0.8)_1.07408_System.String[];0.0000;-0.0247;0.0311
-0.0992;0.0000;False;False;81.0090;81.0090;-0.0047;-0.0047;-75.3202;-75.3202;359.8235;359.8235;275.6128;275.6128;0.0672;0.0672;-0.0002;0.0094;0.0094;-0.0014;-0.0014;-0.0002;2507989;65.51092;5138.81;80.8562;-86.3594;1.1320;1.1028;-75.6389;-84.4000;352.4205;352.4881;266.9088;80.8587;1.2242;359.6544;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.6, -0.1)_(0.6, 0.4, -0.6, 0.5)_1.073194_System.String[];HandLeft_(-0.2, -0.4, -0.3)_(0.3, 0.6, -0.7, 0.4)_1.07408_System.String[];HandRight_(0.0, -0.6, -0.1)_(-0.4, -0.5, 0.0, 0.8)_1.073194_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.3, -0.5, -0.3, 0.8)_1.07408_System.String[];0.0679;-0.0247;0.0311
-0.0873;0.0000;False;False;81.0090;81.0090;-0.0042;-0.0042;-75.3204;-75.3204;359.8245;359.8245;275.6129;275.6129;0.0671;0.0671;-0.0001;0.0043;0.0043;-0.0015;-0.0015;-0.0001;2507994;69.45759;5138.88;80.8562;-86.3591;1.1325;1.1056;-75.6390;-84.4000;352.4218;352.5033;266.9089;80.8598;1.2239;359.6552;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.6, -0.1)_(0.6, 0.4, -0.6, 0.5)_1.073194_System.String[];HandLeft_(-0.2, -0.4, -0.3)_(0.3, 0.6, -0.6, 0.3)_1.07408_System.String[];HandRight_(0.0, -0.6, -0.1)_(-0.4, -0.5, 0.0, 0.8)_1.073194_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.3, -0.5, -0.3, 0.7)_1.07408_System.String[];0.1382;-0.0247;0.0311
-0.0873;0.0000;False;False;81.0090;81.0090;-0.0040;-0.0040;-75.3204;-75.3204;359.8240;359.8240;275.6130;275.6130;0.0679;0.0679;0.0000;0.0021;0.0021;0.0000;0.0000;0.0000;2507999;70.797;5138.95;80.8562;-86.3589;1.1327;1.1072;-75.6390;-84.3999;352.4216;352.5112;266.9089;80.8596;1.2247;359.6555;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.6, -0.1)_(0.5, 0.4, -0.6, 0.5)_1.073194_System.String[];HandLeft_(-0.2, -0.4, -0.3)_(0.4, 0.6, -0.6, 0.2)_1.07408_System.String[];HandRight_(0.0, -0.6, -0.1)_(-0.4, -0.5, 0.0, 0.8)_1.073194_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.3, -0.5, -0.3, 0.7)_1.07408_System.String[];0.2080;-0.0247;0.0311
-0.0794;0.0000;False;False;81.0090;81.0090;-0.0039;-0.0039;-75.3204;-75.3204;359.8230;359.8230;275.6130;275.6130;0.0681;0.0681;0.0000;0.0006;0.0006;0.0000;0.0000;0.0000;2508004;71.38557;5139.02;80.8562;-86.3587;1.1328;1.1081;-75.6390;-84.3999;352.4207;352.5150;266.9088;80.8605;1.2251;359.6557;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.6, -0.1)_(0.5, 0.4, -0.6, 0.5)_1.073194_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.6, 0.6, -0.6, 0.1)_1.07408_System.String[];HandRight_(0.0, -0.6, -0.1)_(-0.4, -0.5, 0.0, 0.8)_1.073194_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.3, -0.5, -0.3, 0.7)_1.07408_System.String[];0.2778;-0.0247;0.0311
-0.0754;0.0000;False;False;81.0089;81.0089;-0.0039;-0.0039;-75.3204;-75.3204;359.8219;359.8219;275.6130;275.6130;0.0680;0.0680;0.0000;0.0001;0.0001;0.0000;0.0000;0.0000;2508009;71.74564;5139.09;80.8562;-86.3586;1.1329;1.1086;-75.6390;-84.3999;352.4196;352.5157;266.9088;80.8613;1.2252;359.6557;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.6, -0.1)_(0.6, 0.4, -0.6, 0.5)_1.073194_System.String[];HandLeft_(-0.2, -0.3, -0.4)_(0.7, 0.5, -0.5, 0.0)_1.07408_System.String[];HandRight_(0.0, -0.6, -0.1)_(-0.4, -0.5, 0.0, 0.8)_1.073194_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.3, -0.5, -0.3, 0.7)_1.07408_System.String[];0.3472;-0.0247;0.0311
-0.0714;0.0000;False;False;81.0089;81.0089;-0.0039;-0.0039;-75.3204;-75.3204;359.8209;359.8209;275.6130;275.6130;0.0679;0.0679;0.0000;-0.0002;-0.0002;0.0000;0.0000;0.0000;2508014;71.70348;5139.16;80.8562;-86.3586;1.1329;1.1089;-75.6390;-84.3999;352.4186;352.5156;266.9088;80.8625;1.2252;359.6557;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.6, -0.1)_(0.5, 0.4, -0.6, 0.5)_1.073194_System.String[];HandLeft_(-0.2, -0.3, -0.4)_(0.7, 0.5, -0.5, 0.1)_1.07408_System.String[];HandRight_(0.0, -0.6, -0.1)_(-0.4, -0.5, 0.0, 0.8)_1.073194_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.3, -0.5, -0.3, 0.7)_1.07408_System.String[];0.4170;-0.0247;0.0311
-0.0635;0.0000;False;False;81.0089;81.0089;-0.0039;-0.0039;-75.3204;-75.3204;359.8201;359.8201;275.6130;275.6130;0.0677;0.0677;0.0000;-0.0002;-0.0002;0.0000;0.0000;0.0000;2508019;71.64821;5139.23;80.8562;-86.3586;1.1329;1.1090;-75.6390;-84.3999;352.4178;352.5146;266.9088;80.8644;1.2252;359.6556;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.6, -0.1)_(0.5, 0.4, -0.6, 0.5)_1.073194_System.String[];HandLeft_(-0.2, -0.3, -0.4)_(0.7, 0.4, -0.6, 0.1)_1.07408_System.String[];HandRight_(0.0, -0.6, -0.1)_(-0.4, -0.5, 0.0, 0.8)_1.073194_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.3, -0.5, -0.3, 0.8)_1.07408_System.String[];0.4868;-0.0247;0.0311
-0.0516;0.0000;False;False;81.0089;81.0089;-0.0039;-0.0039;-75.3204;-75.3204;359.8195;359.8195;275.6130;275.6130;0.0676;0.0676;0.0000;-0.0002;-0.0002;0.0000;0.0000;0.0000;2508024;71.70406;5139.30;80.8562;-86.3585;1.1329;1.1090;-75.6390;-84.3999;352.4171;352.5135;266.9088;80.8655;1.2252;359.6556;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.6, -0.1)_(0.6, 0.4, -0.6, 0.5)_1.073194_System.String[];HandLeft_(-0.2, -0.3, -0.4)_(0.7, 0.3, -0.6, 0.1)_1.07408_System.String[];HandRight_(0.0, -0.6, -0.1)_(-0.4, -0.5, 0.0, 0.8)_1.073194_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.3, -0.5, -0.3, 0.8)_1.07408_System.String[];0.5566;-0.0247;0.0265
-0.0397;0.0000;False;False;81.0089;81.0089;-0.0039;-0.0039;-75.3204;-75.3204;359.8191;359.8191;275.6130;275.6130;0.0676;0.0676;0.0000;-0.0002;-0.0002;0.0000;0.0000;0.0000;2508029;71.72205;5139.37;80.8562;-86.3585;1.1328;1.1090;-75.6390;-84.3999;352.4167;352.5124;266.9088;80.8652;1.2252;359.6555;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.6, -0.1)_(0.6, 0.4, -0.6, 0.5)_1.073194_System.String[];HandLeft_(-0.2, -0.3, -0.4)_(0.7, 0.4, -0.6, 0.1)_1.07408_System.String[];HandRight_(0.0, -0.6, -0.1)_(-0.4, -0.5, 0.0, 0.8)_1.073194_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.3, -0.5, -0.3, 0.8)_1.07408_System.String[];0.6260;-0.0247;0.0255
